resources.name,resources.schema.fields.name,resources.schema.fields.var_class,resources.schema.fields.description,resources.schema.fields.constraints.enum
TAS_ACCIDENT,SNAPSHOT_DATE,99a. Research Content,The date the data was captured.,
TAS_ACCIDENT,ACCIDENT_NUMBER,3c. Direct Identifier Internal – replaced,Unique identifier of a collision report.,
TAS_ACCIDENT,ACCIDENT_DATE,6c. Strong Indirect Identifier - modified,"Date of crash. (e.g., 1/31/2019)",
TAS_ACCIDENT,YEAR,99a. Research Content,"Year of crash. (e.g., 2019)",
TAS_ACCIDENT,MONTH,99a. Research Content,Month of crash. (e.g. JANUARY),
TAS_ACCIDENT,ACC_DAY_OF_WEEK,99a. Research Content,"Day of week of crash. (e.g., Thursday)",
TAS_ACCIDENT,ACCIDENT_TIME,99a. Research Content,"Actual time of crash in military format (24-hour clock).  (e.g., 1645)",
TAS_ACCIDENT,TIME_CATEGORY,99a. Research Content,"Time of crash in three-hour groupings (e.g., 15:00-17:59)",
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,00-Unknown
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,01-At Intersection
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,02-Between Intersection Exchanges
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,03-Intersection Of Road and Driveway
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,04-Bridge
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,05-Ferry Or Dock
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,06-Tunnel
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,07-Exit Deceleration Lane
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,08-Exit Ramp
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,09-Exit Intersection
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,10-Entrance Acceleration Lane
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,11-Entrance Ramp
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,12-Entrance Intersection
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,13-Off Highway
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,14-Parking Lot At Address
